From,To,Length
12,22,-0.338869883
12,23,-0.235189057
12,24,-0.189637113
13,1,0.855231817
13,2,0.899993026
13,3,0.763083115
13,4,0.744126762
13,5,0.89661993
13,6,0.842772738
13,7,0.771854418
13,8,0.92974294
13,9,0.808101263
13,10,0.838628668
13,11,0.625651684
13,12,0.953017133
13,14,0.910611128
13,15,0.90400523
13,16,0.675704648
13,17,0.776800868
13,18,0.746340586
13,19,-0.243271663
13,20,-0.141013736
13,21,0.447813088
13,22,-0.355031645
13,23,-0.257387929
13,24,-0.204861596
14,1,0.835509946
14,2,0.867424705
14,3,0.827083219
14,4,0.764335501
14,5,0.90303856
14,6,0.808921609
14,7,0.819398011
14,8,0.915655252
14,9,0.737960278
14,10,0.830112573
14,11,0.674562849
14,12,0.886145393
14,13,0.910611128
14,15,0.907972424
14,16,0.652402956
14,17,0.786638164
14,18,0.763646223
14,19,-0.232406595
14,20,-0.14076211
14,21,0.418163064
14,22,-0.341768062
14,23,-0.26042217
14,24,-0.21032291
15,1,0.842580572
15,2,0.879584858
15,3,0.822554991
15,4,0.733296523
15,5,0.822535843
15,6,0.905218338
15,7,0.840910729
15,8,0.913250538
15,9,0.710248724
15,10,0.831763608
15,11,0.627159272
15,12,0.93665338
15,13,0.90400523
15,14,0.907972424
15,16,0.69279863
15,17,0.778782371
15,18,0.767442113
15,19,-0.243578913
15,20,-0.151481433
15,21,0.43073164
15,22,-0.341105085
15,23,-0.257558625
15,24,-0.210395543
16,1,0.706624019
16,2,0.649689522
16,3,0.527534702
16,4,0.626458086
16,5,0.611054147
16,6,0.6747752
16,7,0.548521924
16,8,0.663006069
16,9,0.601602768
16,10,0.606125647
16,11,0.508305025
16,12,0.673718801
16,13,0.675704648
16,14,0.652402956
16,15,0.69279863
16,17,0.768899085
16,18,0.763312892
16,19,-0.276385974
16,20,-0.183139068
16,21,0.318652474
16,22,-0.353888067
16,23,-0.29015044
16,24,-0.22855822
17,1,0.814724537
17,2,0.762772694
17,3,0.621434863
17,4,0.734113853
17,5,0.729939689
17,6,0.748983413
17,7,0.683545379
17,8,0.783773561
17,9,0.653695013
17,10,0.688491664
17,11,0.608175632
17,12,0.772733127
17,13,0.776800868
17,14,0.786638164
17,15,0.778782371
17,16,0.768899085
17,18,0.82093889
17,19,-0.239850632
17,20,-0.096845132
17,21,0.430532547
17,22,-0.352381013
17,23,-0.224638846
17,24,-0.176082717
18,1,0.771016075
18,2,0.756813961
18,3,0.646648749
18,4,0.705359428
18,5,0.695056577
18,6,0.746085177
18,7,0.679579264
18,8,0.758070333
18,9,0.624011625
18,10,0.700986858
18,11,0.604388466
18,12,0.748431784
18,13,0.746340586
18,14,0.763646223
18,15,0.767442113
18,16,0.763312892
18,17,0.82093889
18,19,-0.18787983
18,20,-0.092486419
18,21,0.399028721
18,22,-0.286313667
18,23,-0.207175523
18,24,-0.151042159
19,1,-0.221154248
19,2,-0.205358781
19,3,-0.162985339
19,4,-0.213293179
19,5,-0.226071599
19,6,-0.220240938
19,7,-0.184707384
19,8,-0.233819679
19,9,-0.110131551
19,10,-0.162007855
19,11,-0.04431142
19,12,-0.229906517
19,13,-0.243271663
19,14,-0.232406595
19,15,-0.243578913
19,16,-0.276385974
19,17,-0.239850632
19,18,-0.18787983
19,20,0.641353227
19,21,0.152069735
19,22,0.949025368
19,23,0.621521256
19,24,0.649643452
20,1,-0.108842015
20,2,-0.132137279
20,3,-0.110557159
20,4,-0.103614247
20,5,-0.137556188
20,6,-0.148984963
20,7,-0.099280118
20,8,-0.129198793
20,9,-0.062897396
20,10,-0.099676883
20,11,-0.000825958
20,12,-0.122335734
20,13,-0.141013736
20,14,-0.14076211
20,15,-0.151481433
20,16,-0.183139068
20,17,-0.096845132
20,18,-0.092486419
20,19,0.641353227
20,21,0.337869196
20,22,0.574878736
20,23,0.768114725
20,24,0.775305032
21,1,0.448793419
21,2,0.445077515
21,3,0.339245521
21,4,0.428264645
21,5,0.390436997
21,6,0.416019248
21,7,0.39603373
21,8,0.446995254
21,9,0.355250765
21,10,0.408124958
21,11,0.345834421
21,12,0.452030921
21,13,0.447813088
21,14,0.418163064
21,15,0.43073164
21,16,0.318652474
21,17,0.430532547
21,18,0.399028721
21,19,0.152069735
21,20,0.337869196
21,22,-0.022841515
21,23,0.083921212
21,24,0.16405275
22,1,-0.329974662
22,2,-0.319585834
22,3,-0.237629149
22,4,-0.318176314
22,5,-0.336584743
22,6,-0.327183326
22,7,-0.27902272
22,8,-0.352335057
22,9,-0.184181423
22,10,-0.255671742
22,11,-0.10202839
22,12,-0.338869883
22,13,-0.355031645
22,14,-0.341768062
22,15,-0.341105085
22,16,-0.353888067
22,17,-0.352381013
22,18,-0.286313667
22,19,0.949025368
22,20,0.574878736
22,21,-0.022841515
22,23,0.629979502
22,24,0.645254162
23,1,-0.235474847
23,2,-0.250660643
23,3,-0.185487047
23,4,-0.206857263
23,5,-0.264511521
23,6,-0.261086504
23,7,-0.192287743
23,8,-0.248694247
23,9,-0.170918097
23,10,-0.213515645
23,11,-0.110181535
23,12,-0.235189057
23,13,-0.257387929
23,14,-0.26042217
23,15,-0.257558625
23,16,-0.29015044
23,17,-0.224638846
23,18,-0.207175523
23,19,0.621521256
23,20,0.768114725
23,21,0.083921212
23,22,0.629979502
23,24,0.847666541
24,1,-0.18649672
24,2,-0.196141576
24,3,-0.149444514
24,4,-0.175942905
24,5,-0.211888645
24,6,-0.204716246
24,7,-0.162696313
24,8,-0.202414298
24,9,-0.106703124
24,10,-0.148297519
24,11,-0.065136054
24,12,-0.189637113
24,13,-0.204861596
24,14,-0.21032291
24,15,-0.210395543
24,16,-0.22855822
24,17,-0.176082717
24,18,-0.151042159
24,19,0.649643452
24,20,0.775305032
24,21,0.16405275
24,22,0.645254162
24,23,0.847666541
