From,To,Length
6,37,0.325741891
6,38,0.296583851
6,39,0.322463768
6,40,0.273809524
6,41,0.271911663
6,42,0.281918565
6,43,0.230676329
6,44,0.251552795
6,45,0.237232574
6,46,0.244824017
6,47,0.27915804
6,48,0.242753623
6,49,0.188233264
6,50,0.197204969
6,51,0.203071084
7,1,0.301069703
7,2,0.333505866
7,3,0.324361629
7,4,0.387681159
7,5,0.397515528
7,6,0.42184265
7,8,0.737232574
7,10,0.410628019
7,11,0.289164941
7,12,0.336783989
7,13,0.294858523
7,14,0.275534852
7,15,0.234126984
7,16,0.350241546
7,17,0.337991718
7,18,0.354554865
7,19,0.316942719
7,20,0.329020014
7,21,0.349551415
7,22,0.364216701
7,23,0.308833678
7,24,0.308833678
7,25,0.309868875
7,26,0.29589372
7,27,0.242236025
7,28,0.287784679
7,29,0.244651484
7,30,0.241718427
7,31,0.339889579
7,32,0.331608006
7,33,0.368357488
7,34,0.384403037
7,35,0.364044168
7,36,0.303485162
7,37,0.339717046
7,38,0.297273982
7,39,0.330572809
7,40,0.285541753
7,41,0.288992409
7,42,0.274154589
7,43,0.241373361
7,44,0.258454106
7,45,0.242926156
7,46,0.27173913
7,47,0.289337474
7,48,0.289510007
7,49,0.225327812
7,50,0.228778468
7,51,0.246204279
8,1,0.296411318
8,2,0.32073844
8,3,0.310041408
8,4,0.383885438
8,5,0.38957902
8,6,0.424085576
8,7,0.737232574
8,10,0.407694962
8,11,0.294168392
8,12,0.342132505
8,13,0.302277433
8,14,0.276224983
8,15,0.236887509
8,16,0.349206349
8,17,0.336611456
8,18,0.353692202
8,19,0.329537612
8,20,0.335231194
8,21,0.360075914
8,22,0.363871636
8,23,0.313837129
8,24,0.315044859
8,25,0.306418219
8,26,0.292615597
8,27,0.239993099
8,28,0.294340925
8,29,0.230331263
8,30,0.243443754
8,31,0.328329883
8,32,0.325569358
8,33,0.363699103
8,34,0.371463078
8,35,0.360766046
8,36,0.30831608
8,37,0.34799862
8,38,0.308488613
8,39,0.337301587
8,40,0.288819876
8,41,0.303312629
8,42,0.281055901
8,43,0.247929607
8,44,0.26863354
8,45,0.247239476
8,46,0.276742581
8,47,0.290717736
8,48,0.29278813
8,49,0.221532091
8,50,0.226535542
8,51,0.244478951
10,1,0.291925466
10,2,0.310731539
10,3,0.305383023
10,4,0.379572119
10,5,0.377846791
10,6,0.366287095
10,7,0.410628019
10,8,0.407694962
10,11,0.253968254
10,12,0.334195997
10,13,0.316597654
10,14,0.278295376
10,15,0.21773637
10,16,0.322463768
10,17,0.321256039
10,18,0.317460317
10,19,0.322291235
10,20,0.320910973
10,21,0.312111801
10,22,0.333505866
10,23,0.313146998
10,24,0.311594203
10,25,0.298136646
10,26,0.2915804
10,27,0.217908903
10,28,0.266218081
10,29,0.249482402
10,30,0.22705314
10,31,0.247757074
10,32,0.300034507
10,33,0.296411318
10,34,0.330227743
10,35,0.296066253
10,36,0.302277433
10,37,0.341097308
10,38,0.301242236
10,39,0.32073844
10,40,0.28847481
10,41,0.273464458
10,42,0.265010352
10,43,0.279675638
10,44,0.293823326
10,45,0.277950311
10,46,0.301069703
10,47,0.262767426
10,48,0.278640442
10,49,0.194616977
10,50,0.215320911
10,51,0.221532091
11,1,0.212905452
11,2,0.216701173
11,3,0.216183575
11,4,0.272774327
11,5,0.287784679
11,6,0.280365769
11,7,0.289164941
11,8,0.294168392
11,10,0.253968254
11,12,0.339717046
11,13,0.284851622
11,14,0.239130435
11,15,0.222049689
11,16,0.421325052
11,17,0.379744651
11,18,0.447204969
11,19,0.379227053
11,20,0.368357488
11,21,0.31573499
11,22,0.34057971
11,23,0.333850932
11,24,0.326777088
11,25,0.321256039
11,26,0.23757764
11,27,0.244133885
11,28,0.248792271
11,29,0.160455487
11,30,0.1978951
11,31,0.227570738
11,32,0.253795721
11,33,0.265873016
11,34,0.327984817
11,35,0.283816425
11,36,0.26984127
11,37,0.295548654
11,38,0.28226363
11,39,0.288992409
11,40,0.271048999
11,41,0.261904762
11,42,0.273291925
11,43,0.234644582
11,44,0.233609386
11,45,0.218944099
11,46,0.232401656
11,47,0.240855763
11,48,0.209282264
11,49,0.166494134
11,50,0.186162871
11,51,0.183574879
12,1,0.258626639
12,2,0.278985507
12,3,0.271221532
12,4,0.351794341
12,5,0.316080055
12,6,0.347481021
12,7,0.336783989
12,8,0.342132505
12,10,0.334195997
12,11,0.339717046
12,13,0.384057971
12,14,0.345410628
12,15,0.266218081
12,16,0.399240856
12,17,0.411663216
12,18,0.389233954
12,19,0.430814355
12,20,0.379399586
12,21,0.368875086
12,22,0.379572119
12,23,0.397342995
12,24,0.390096618
12,25,0.367667357
12,26,0.301759834
12,27,0.282091097
12,28,0.267943409
12,29,0.189786059
12,30,0.235507246
12,31,0.273636991
12,32,0.315389924
12,33,0.300552105
12,34,0.358350587
12,35,0.336093858
12,36,0.3647343
12,37,0.379744651
12,38,0.35610766
12,39,0.352311939
12,40,0.34178744
12,41,0.31763285
12,42,0.376811594
12,43,0.331953071
12,44,0.339371981
12,45,0.328847481
12,46,0.340407177
12,47,0.313492063
12,48,0.315907522
12,49,0.247757074
12,50,0.303657695
12,51,0.255866115
13,1,0.22826087
13,2,0.259661836
13,3,0.243616287
13,4,0.319530711
13,5,0.266563147
13,6,0.289855072
13,7,0.294858523
13,8,0.302277433
13,10,0.316597654
13,11,0.284851622
